"","any_state","any_location","any_both_sexes_2011","any_males_2011","any_females_2011","binge_both_sexes_2011","binge_males_2011","binge_females_2011"
"1","Washington","Adams County",42.6,56.6,29.2,16.2,25.5,7.2
"2","Washington","Franklin County",45.2,54.6,36.2,15.7,23.2,8.4
"3","Washington","Grant County",50,59.5,40.8,17,24.9,9.4
"4","Washington","Yakima County",51,58.9,43.4,17.3,23.7,11
"5","Washington","Lewis County",55,61.6,48.7,17.7,23.7,11.8
"6","Washington","Columbia County",55.7,60.9,50.8,17.8,25,10.9
"7","Washington","Chelan County",55.8,61.5,50.3,17.5,23,12.3
"8","Washington","Ferry County",56.2,60.5,52.1,20.5,27.3,14
"9","Washington","Cowlitz County",56.3,61.5,51.2,17.7,22.5,13.1
"10","Washington","Okanogan County",56.3,61.5,51.3,18.1,24.1,12.3
"11","Washington","Walla Walla County",56.3,62.6,50.2,18.3,24.3,12.4
"12","Washington","Asotin County",57,62.4,51.7,19.1,26.2,12.3
"13","Washington","Grays Harbor County",57.3,63.5,51.4,18.9,24.6,13.4
"14","Washington","Stevens County",58,64.3,51.9,20.6,28.3,13.1
"15","Washington","Wahkiakum County",58.4,64.8,52.2,20.6,25.1,16.3
"16","Washington","Benton County",58.8,65.5,52.4,18.9,26.2,11.9
"17","Washington","Klickitat County",59.4,64.1,54.9,19.5,25.5,13.8
"18","Washington","Pierce County",59.4,64.4,54.6,17.5,22,13.2
"19","Washington","Clark County",60.6,64.3,56.9,18.5,23.8,13.3
"20","Washington","Douglas County",60.7,64.6,56.9,18.6,24.4,13.1
"21","Washington","Clallam County",61,66.2,55.9,18.9,23.9,14.1
"22","Washington","Thurston County",61.3,65.7,57,18.3,23.2,13.6
"23","Washington","Skagit County",61.4,66.2,56.7,18.8,24.3,13.5
"24","Washington","Snohomish County",61.5,65.7,57.3,19.8,25.8,14.1
"25","Washington","Mason County",61.6,66.5,56.8,20,25.5,14.6
"26","Washington","Pacific County",61.8,68.1,55.7,21,27.3,14.9
"27","Washington","Washington",61.9,66.4,57.5,19.3,24.7,14
"28","Washington","Kitsap County",62.2,66.4,58.2,18.6,23.4,14
"29","Washington","Spokane County",62.4,66.8,58,20.4,27.4,13.7
"30","Washington","Pend Oreille County",62.6,65.3,60.1,21.8,29.7,14.2
"31","Washington","Whitman County",63.2,66.9,59.6,19.9,25.9,14
"32","Washington","Skamania County",63.3,67,59.8,20.6,27.1,14.3
"33","Washington","Kittitas County",64.1,66.8,61.5,20.6,26.5,14.9
"34","Washington","Lincoln County",64.4,70.4,58.6,22.4,29.7,15.3
"35","Washington","Whatcom County",65.8,69.7,62,19.9,24.5,15.4
"36","Washington","Garfield County",66,70.2,62,21.3,26,16.7
"37","Washington","King County",66.2,69.7,62.9,20.4,25.3,15.7
"38","Washington","Island County",66.6,71.1,62.4,20,26.7,13.4
"39","Washington","Jefferson County",68.4,71.8,65.1,20.2,26.1,14.5
"40","Washington","San Juan County",73,75.5,70.5,22.8,28.3,17.4
